,Country_x,ISO,cumulative_emissions_2024,Income Group
151,Serbia,SRB,3374983000.0,UM
152,Seychelles,SYC,16113488.0,H
153,Sierra Leone,SLE,1332726800.0,L
154,Singapore,SGP,2253547000.0,H
155,Slovakia,SVK,4528093700.0,H
156,Slovenia,SVN,1215836800.0,H
157,Solomon Islands,SLB,208666020.0,LM
158,Somalia,SOM,1126774800.0,L
159,South Africa,ZAF,29695523000.0,UM
160,South Korea,KOR,20972070000.0,H
161,South Sudan,SSD,1656513500.0,L
162,Spain,ESP,17728500000.0,H
163,Sri Lanka,LKA,2245985300.0,LM
164,Sudan,SDN,2696176000.0,L
165,Suriname,SUR,259324050.0,UM
166,Sweden,SWE,7555962000.0,H
167,Switzerland,CHE,3413797600.0,H
168,Syria,SYR,2480463000.0,L
169,Tajikistan,TJK,640888200.0,LM
170,Tanzania,TZA,7593550000.0,LM
171,Thailand,THA,25176127000.0,UM
172,Togo,TGO,697511200.0,L
173,Tonga,TON,7769304.0,UM
174,Trinidad and Tobago,TTO,1696765600.0,H
175,Tunisia,TUN,1438670000.0,LM
176,Turkey,TUR,19524532000.0,UM
177,Turkmenistan,TKM,2923369500.0,UM
178,Tuvalu,TUV,297180.0,UM
179,Uganda,UGA,2339345400.0,L
180,Ukraine,UKR,44320210000.0,UM
181,United Arab Emirates,ARE,5825851000.0,H
182,United Kingdom,GBR,79771935000.0,H
183,United States,USA,560542000000.0,H
184,Uruguay,URY,1032708800.0,H
185,Uzbekistan,UZB,7137678300.0,LM
186,Vanuatu,VUT,90283820.0,LM
187,Venezuela,VEN,13404175000.0,
188,Vietnam,VNM,14823627000.0,LM
189,Yemen,YEM,744745150.0,L
190,Zambia,ZMB,5011349500.0,LM
191,Zimbabwe,ZWE,2934447600.0,LM
